City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,10.01,99,78,1.63,AU,2023-11-07 19:00:35
1,isoka,-10.1606,32.6335,21.46,69,100,0.33,ZM,2023-11-07 19:00:38
2,puerto natales,-51.7236,-72.4875,10.25,53,75,10.29,CL,2023-11-07 19:00:40
3,yellowknife,62.456,-114.3525,-4.77,97,100,3.09,CA,2023-11-07 19:00:43
4,klyuchi,52.2667,79.1667,-1.89,77,69,2.14,RU,2023-11-07 19:00:45
5,carnarvon,-24.8667,113.6333,20.53,76,0,7.9,AU,2023-11-07 19:00:21
6,port elizabeth,-33.918,25.5701,16.29,82,0,6.17,ZA,2023-11-07 19:00:49
7,georgetown,5.4112,100.3354,28.3,92,20,1.54,MY,2023-11-07 19:00:18
8,labrador city,52.9463,-66.9114,-7.05,86,100,4.63,CA,2023-11-07 19:00:19
9,arraial do cabo,-22.9661,-42.0278,25.98,53,0,5.66,BR,2023-11-07 19:00:52
10,blackmans bay,-43.0167,147.3167,12.07,95,100,1.08,AU,2023-11-07 19:00:53
11,urucara,-2.5364,-57.76,25.36,94,100,1.09,BR,2023-11-07 19:00:54
12,udachny,66.4167,112.4,-22.45,100,82,0.99,RU,2023-11-07 19:00:56
13,grytviken,-54.2811,-36.5092,6.3,66,38,2.89,GS,2023-11-07 19:00:57
14,avarua,-21.2078,-159.775,24.03,50,96,7.72,CK,2023-11-07 19:00:58
15,qashyr,53.0675,76.1036,1.09,49,29,2.62,KZ,2023-11-07 19:00:59
16,tura,25.5198,90.2201,17.1,81,0,1.15,IN,2023-11-07 19:01:00
17,olonkinbyen,70.9221,-8.7187,0.85,72,100,2.51,SJ,2023-11-07 19:01:03
18,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,2023-11-07 19:01:04
19,vila franca do campo,37.7167,-25.4333,20.49,99,98,5.6,PT,2023-11-07 19:01:05
20,cassolnovo,45.3612,8.8086,11.21,93,0,1.32,IT,2023-11-07 19:01:07
21,talnakh,69.4865,88.3972,-10.44,76,100,9.38,RU,2023-11-07 19:01:08
22,chibougamau,49.9168,-74.3659,-3.21,86,100,6.17,CA,2023-11-07 19:01:09
23,selkirk,50.1436,-96.8845,0.1,87,99,3.58,CA,2023-11-07 19:01:10
24,waitangi,-43.9535,-176.5597,13.23,97,100,1.34,NZ,2023-11-07 19:01:12
25,adamstown,-25.066,-130.1015,22.72,84,100,9.45,PN,2023-11-07 19:01:13
26,cadale,2.7603,46.3222,26.21,83,100,3.27,SO,2023-11-07 19:01:15
27,san rafael del yuma,18.4299,-68.6739,30.11,64,92,2.86,DO,2023-11-07 19:01:16
28,port mathurin,-19.6833,63.4167,25.07,76,5,5.15,MU,2023-11-07 19:01:06
29,bilibino,68.0546,166.4372,-15.04,96,100,1.49,RU,2023-11-07 19:01:19
30,puerto ayora,-0.7393,-90.3518,28.98,74,22,4.02,EC,2023-11-07 19:01:21
31,college,64.8569,-147.8028,-7.03,84,100,0.0,US,2023-11-07 19:01:23
32,bredasdorp,-34.5322,20.0403,13.69,63,85,1.06,ZA,2023-11-07 19:01:25
33,wailua homesteads,22.0669,-159.378,25.42,87,100,2.68,US,2023-11-07 19:01:26
